"model1"  "model2"  "chi2"  "df"  "P.val"
"1"  "JC69"  "JC69+I"  -0.171580000000006  1  1
"2"  "JC69"  "JC69+G"  -0.00295999999997321  1  1
"3"  "JC69"  "JC69+I+G"  -0.0140799999999786  2  1
"4"  "JC69"  "K80"  -0.033299999999997  1  1
"5"  "JC69"  "K80+I"  -0.0345800000000054  2  1
"6"  "JC69"  "K80+G"  -0.035979999999995  2  1
"7"  "JC69"  "K80+I+G"  -0.0404800000000023  3  1
"8"  "JC69"  "F81"  42.27572  3  0
"9"  "JC69"  "F81+I"  42.27386  4  0
"10"  "JC69"  "F81+G"  42.2733  4  0
"11"  "JC69"  "F81+I+G"  42.25734  5  0
"12"  "JC69"  "F84"  43.05612  4  0
"13"  "JC69"  "F84+I"  43.0542  5  0
"14"  "JC69"  "F84+G"  43.05272  5  0
"15"  "JC69"  "F84+I+G"  43.05332  6  0
"16"  "JC69"  "HKY85"  43.3036  4  0
"17"  "JC69"  "HKY85+I"  43.30088  5  0
"18"  "JC69"  "HKY85+G"  43.30034  5  0
"19"  "JC69"  "HKY85+I+G"  43.30704  6  0
"20"  "JC69"  "TN93"  44.05702  5  0
"21"  "JC69"  "TN93+I"  44.0534  6  0
"22"  "JC69"  "TN93+G"  44.05364  6  0
"23"  "JC69"  "TN93+I+G"  44.08078  7  0
"24"  "JC69"  "GTR"  49.6013  8  0
"25"  "JC69"  "GTR+I"  49.59898  9  0
"26"  "JC69"  "GTR+G"  49.60036  9  0
"27"  "JC69"  "GTR+I+G"  49.6919  10  0
"28"  "JC69+I"  "JC69+I+G"  0.157500000000027  1  0.6915
"29"  "JC69+I"  "K80+I"  0.137  1  0.7113
"30"  "JC69+I"  "K80+I+G"  0.131100000000004  2  0.9366
"31"  "JC69+I"  "F81+I"  42.44544  3  0
"32"  "JC69+I"  "F81+I+G"  42.42892  4  0
"33"  "JC69+I"  "F84+I"  43.22578  4  0
"34"  "JC69+I"  "F84+I+G"  43.2249  5  0
"35"  "JC69+I"  "HKY85+I"  43.47246  4  0
"36"  "JC69+I"  "HKY85+I+G"  43.47862  5  0
"37"  "JC69+I"  "TN93+I"  44.22498  5  0
"38"  "JC69+I"  "TN93+I+G"  44.25236  6  0
"39"  "JC69+I"  "GTR+I"  49.77056  8  0
"40"  "JC69+I"  "GTR+I+G"  49.86348  9  0
"41"  "JC69+G"  "JC69+I+G"  -0.0111200000000053  1  1
"42"  "JC69+G"  "K80+G"  -0.0330200000000218  1  1
"43"  "JC69+G"  "K80+I+G"  -0.0375200000000291  2  1
"44"  "JC69+G"  "F81+G"  42.27626  3  0
"45"  "JC69+G"  "F81+I+G"  42.2603  4  0
"46"  "JC69+G"  "F84+G"  43.05568  4  0
"47"  "JC69+G"  "F84+I+G"  43.05628  5  0
"48"  "JC69+G"  "HKY85+G"  43.3033  4  0
"49"  "JC69+G"  "HKY85+I+G"  43.31  5  0
"50"  "JC69+G"  "TN93+G"  44.0566  5  0
"51"  "JC69+G"  "TN93+I+G"  44.08374  6  0
"52"  "JC69+G"  "GTR+G"  49.60332  8  0
"53"  "JC69+G"  "GTR+I+G"  49.69486  9  0
"54"  "JC69+I+G"  "K80+I+G"  -0.0264000000000237  1  1
"55"  "JC69+I+G"  "F81+I+G"  42.27142  3  0
"56"  "JC69+I+G"  "F84+I+G"  43.0674  4  0
"57"  "JC69+I+G"  "HKY85+I+G"  43.32112  4  0
"58"  "JC69+I+G"  "TN93+I+G"  44.09486  5  0
"59"  "JC69+I+G"  "GTR+I+G"  49.70598  8  0
"60"  "K80"  "K80+I"  -0.00128000000000839  1  1
"61"  "K80"  "K80+G"  -0.00267999999999802  1  1
"62"  "K80"  "K80+I+G"  -0.00718000000000529  2  1
"63"  "K80"  "F84"  43.08942  3  0
"64"  "K80"  "F84+I"  43.0875  4  0
"65"  "K80"  "F84+G"  43.08602  4  0
"66"  "K80"  "F84+I+G"  43.08662  5  0
"67"  "K80"  "HKY85"  43.3369  3  0
"68"  "K80"  "HKY85+I"  43.33418  4  0
"69"  "K80"  "HKY85+G"  43.33364  4  0
"70"  "K80"  "HKY85+I+G"  43.34034  5  0
"71"  "K80"  "TN93"  44.09032  4  0
"72"  "K80"  "TN93+I"  44.0867  5  0
"73"  "K80"  "TN93+G"  44.08694  5  0
"74"  "K80"  "TN93+I+G"  44.11408  6  0
"75"  "K80"  "GTR"  49.6346  7  0
"76"  "K80"  "GTR+I"  49.63228  8  0
"77"  "K80"  "GTR+G"  49.63366  8  0
"78"  "K80"  "GTR+I+G"  49.7252  9  0
"79"  "K80+I"  "K80+I+G"  -0.00589999999999691  1  1
"80"  "K80+I"  "F84+I"  43.08878  3  0
"81"  "K80+I"  "F84+I+G"  43.0879  4  0
"82"  "K80+I"  "HKY85+I"  43.33546  3  0
"83"  "K80+I"  "HKY85+I+G"  43.34162  4  0
"84"  "K80+I"  "TN93+I"  44.08798  4  0
"85"  "K80+I"  "TN93+I+G"  44.11536  5  0
"86"  "K80+I"  "GTR+I"  49.63356  7  0
"87"  "K80+I"  "GTR+I+G"  49.72648  8  0
"88"  "K80+G"  "K80+I+G"  -0.00450000000000728  1  1
"89"  "K80+G"  "F84+G"  43.0887  3  0
