. Sequence file : [dna.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	17   	-155.59971	Yes        	4        	1866.309    	0.000    	 0.40882   0.05294   0.06765   0.47059	-0.89904   0.01006   0.30015   0.58883  
      	     	          	           	          	           	             	                                      	 0.07772  -2.57832   0.86561   1.63499  
      	     	          	           	          	           	             	                                      	 1.81396   0.67743  -2.49237   0.00097  
      	     	          	           	          	           	             	                                      	 0.51154   0.18394   0.00014  -0.69562  

  #2	17   	-175.50151	Yes        	4        	0.480    	0.000    	 0.53039   0.08824   0.11471   0.26667	-0.86982   0.02980   0.10759   0.73242  
      	     	          	           	          	           	             	                                      	 0.17913  -0.61671   0.43720   0.00039  
      	     	          	           	          	           	             	                                      	 0.49751   0.33631  -0.83420   0.00039  
      	     	          	           	          	           	             	                                      	 1.45677   0.00013   0.00017  -1.45707  

  #3	17   	-166.65813	Yes        	4        	2884.788    	0.000    	 0.41471   0.04118   0.19020   0.35392	-1.06627   0.24466   0.50629   0.31532  
      	     	          	           	          	           	             	                                      	 2.46404  -3.86620   0.46499   0.93717  
      	     	          	           	          	           	             	                                      	 1.10392   0.10067  -1.20498   0.00039  
      	     	          	           	          	           	             	                                      	 0.36948   0.10903   0.00021  -0.47873  

  #4	17   	-189.71445	Yes        	4        	1218.453    	0.000    	 0.38627   0.08431   0.11961   0.40980	-1.11180   0.00008   0.45975   0.65197  
      	     	          	           	          	           	             	                                      	 0.00035  -0.83647   0.45025   0.38588  
      	     	          	           	          	           	             	                                      	 1.48476   0.31739  -1.80251   0.00037  
      	     	          	           	          	           	             	                                      	 0.61454   0.07939   0.00011  -0.69404  

  #5	17   	-186.47142	Yes        	4        	1724.128    	0.000    	 0.39804   0.05588   0.19020   0.35588	-1.13394   0.24768   0.45755   0.42871  
      	     	          	           	          	           	             	                                      	 1.76420  -2.40656   0.58793   0.05444  
      	     	          	           	          	           	             	                                      	 0.95755   0.17274  -1.19734   0.06704  
      	     	          	           	          	           	             	                                      	 0.47949   0.00855   0.03583  -0.52387  

  #6	17   	-166.89755	Yes        	4        	2647.129    	0.000    	 0.41863   0.06667   0.10294   0.41176	-1.00563   0.09176   0.35635   0.55753  
      	     	          	           	          	           	             	                                      	 0.57617  -1.75962   1.18230   0.00115  
      	     	          	           	          	           	             	                                      	 1.44914   0.76568  -2.21598   0.00115  
      	     	          	           	          	           	             	                                      	 0.56682   0.00019   0.00029  -0.56730  

  #7	17   	-179.34495	Yes        	4        	1587.461    	0.000    	 0.43725   0.02549   0.12941   0.40784	-1.05655   0.22665   0.39051   0.43939  
      	     	          	           	          	           	             	                                      	 3.88799  -5.37493   0.05672   1.43022  
      	     	          	           	          	           	             	                                      	 1.31943   0.01117  -1.33151   0.00090  
      	     	          	           	          	           	             	                                      	 0.47108   0.08939   0.00029  -0.56075  

  #8	17   	-170.26013	Yes        	4        	3794.265    	0.000    	 0.47059   0.08333   0.13137   0.31471	-0.99046   0.17366   0.42428   0.39252  
      	     	          	           	          	           	             	                                      	 0.98066  -1.38745   0.40679   0.00000  
      	     	          	           	          	           	             	                                      	 1.51981   0.25804  -1.77785   0.00000  
      	     	          	           	          	           	             	                                      	 0.58695   0.00000   0.00000  -0.58695  

  #9	17   	-171.84869	Yes        	4        	1184.394    	0.000    	 0.51275   0.10098   0.05392   0.33235	-0.83008   0.10674   0.16353   0.55981  
      	     	          	           	          	           	             	                                      	 0.54200  -1.27858   0.73658   0.00000  
      	     	          	           	          	           	             	                                      	 1.55505   1.37941  -2.93446   0.00000  
      	     	          	           	          	           	             	                                      	 0.86365   0.00000   0.00000  -0.86365  

  #10	17   	-167.95917	Yes        	4        	1865.930    	0.000    	 0.43333   0.12059   0.16176   0.28431	-1.13745   0.26529   0.53717   0.33499  
      	     	          	           	          	           	             	                                      	 0.95333  -1.01211   0.00616   0.05262  
      	     	          	           	          	           	             	                                      	 1.43897   0.00459  -1.44366   0.00010  
      	     	          	           	          	           	             	                                      	 0.51057   0.02232   0.00005  -0.53294  

  #11	17   	-203.27117	Yes        	4        	1831.267    	0.000    	 0.44510   0.13431   0.11471   0.30588	-0.89163   0.11385   0.18891   0.58887  
      	     	          	           	          	           	             	                                      	 0.37728  -1.14500   0.56415   0.20357  
      	     	          	           	          	           	             	                                      	 0.73304   0.66059  -1.39383   0.00020  
      	     	          	           	          	           	             	                                      	 0.85688   0.08939   0.00007  -0.94634  

  #12	17   	-173.11516	Yes        	4        	2.155    	0.000    	 0.24902   0.06765   0.20784   0.47549	-1.96527   0.13384   0.70693   1.12450  
      	     	          	           	          	           	             	                                      	 0.49267  -0.64849   0.05276   0.10306  
      	     	          	           	          	           	             	                                      	 0.84698   0.01717  -0.86449   0.00033  
      	     	          	           	          	           	             	                                      	 0.58892   0.01466   0.00014  -0.60372  

  #13	17   	-190.93891	Yes        	4        	6.389    	0.000    	 0.45882   0.05294   0.17843   0.30980	-1.07115   0.00756   0.11555   0.94804  
      	     	          	           	          	           	             	                                      	 0.06552  -0.22628   0.16066   0.00010  
      	     	          	           	          	           	             	                                      	 0.29713   0.04767  -0.34490   0.00010  
      	     	          	           	          	           	             	                                      	 1.40406   0.00002   0.00006  -1.40414  

  #14	17   	-178.32459	Yes        	4        	1.487    	0.000    	 0.37353   0.05490   0.12941   0.44216	-1.25906   0.12354   0.31001   0.82552  
      	     	          	           	          	           	             	                                      	 0.84049  -1.38034   0.53935   0.00050  
      	     	          	           	          	           	             	                                      	 0.89479   0.22882  -1.12411   0.00050  
      	     	          	           	          	           	             	                                      	 0.69739   0.00006   0.00015  -0.69760  

  #15	17   	-181.54794	Yes        	4        	1394.396    	0.000    	 0.45098   0.12255   0.08529   0.34118	-0.94616   0.31940   0.20893   0.41783  
      	     	          	           	          	           	             	                                      	 1.17539  -1.77335   0.59771   0.00024  
      	     	          	           	          	           	             	                                      	 1.10469   0.85879  -1.96372   0.00024  
      	     	          	           	          	           	             	                                      	 0.55230   0.00009   0.00006  -0.55245  

  #16	17   	-173.85951	Yes        	4        	1169.027    	0.000    	 0.55784   0.04314   0.09902   0.30000	-0.82663   0.21638   0.22596   0.38429  
      	     	          	           	          	           	             	                                      	 2.79816  -3.69902   0.90076   0.00011  
      	     	          	           	          	           	             	                                      	 1.27299   0.39241  -1.66550   0.00011  
      	     	          	           	          	           	             	                                      	 0.71458   0.00002   0.00004  -0.71463  

  #17	17   	-189.31847	Yes        	4        	1894.533    	0.000    	 0.47745   0.00784   0.17843   0.33627	-0.94101   0.01692   0.48139   0.44269  
      	     	          	           	          	           	             	                                      	 1.03012  -7.45200   4.44524   1.97664  
      	     	          	           	          	           	             	                                      	 1.28812   0.19539  -1.48546   0.00195  
      	     	          	           	          	           	             	                                      	 0.62855   0.04610   0.00103  -0.67568  

  #18	17   	-154.34611	Yes        	4        	1296.149    	0.000    	 0.38725   0.05686   0.14706   0.40882	-1.29083   0.37803   0.62985   0.28295  
      	     	          	           	          	           	             	                                      	 2.57449  -2.57522   0.00019   0.00053  
      	     	          	           	          	           	             	                                      	 1.65861   0.00007  -1.65922   0.00053  
      	     	          	           	          	           	             	                                      	 0.26802   0.00007   0.00019  -0.26829  

  #19	17   	-186.55003	Yes        	4        	3132.018    	0.000    	 0.42745   0.07549   0.22843   0.26863	-1.10386   0.13829   0.66453   0.30105  
      	     	          	           	          	           	             	                                      	 0.78304  -1.15518   0.26061   0.11153  
      	     	          	           	          	           	             	                                      	 1.24349   0.08612  -1.32988   0.00026  
      	     	          	           	          	           	             	                                      	 0.47904   0.03134   0.00022  -0.51060  

  #20	17   	-166.45952	Yes        	4        	1885.493    	0.000    	 0.51863   0.08529   0.13039   0.26569	-0.90482   0.03147   0.39160   0.48174  
      	     	          	           	          	           	             	                                      	 0.19138  -0.55138   0.35978   0.00022  
      	     	          	           	          	           	             	                                      	 1.55758   0.23534  -1.79314   0.00022  
      	     	          	           	          	           	             	                                      	 0.94038   0.00007   0.00011  -0.94056  

  #21	17   	-143.29156	Yes        	4        	2572.615    	0.000    	 0.44216   0.03725   0.10000   0.42059	-1.13065   0.15353   0.54406   0.43307  
      	     	          	           	          	           	             	                                      	 1.82215  -1.82277   0.00012   0.00050  
      	     	          	           	          	           	             	                                      	 2.40559   0.00004  -2.40614   0.00050  
      	     	          	           	          	           	             	                                      	 0.45528   0.00004   0.00012  -0.45544  

  #22	17   	-191.79651	Yes        	4        	1.273    	0.000    	 0.40000   0.13627   0.08235   0.38137	-1.21623   0.30378   0.23186   0.68058  
      	     	          	           	          	           	             	                                      	 0.89167  -0.99066   0.00627   0.09272  
      	     	          	           	          	           	             	                                      	 1.12619   0.01037  -1.13681   0.00025  
      	     	          	           	          	           	             	                                      	 0.71382   0.03313   0.00005  -0.74701  

  #23	17   	-165.08070	Yes        	4        	2306.230    	0.000    	 0.56078   0.02353   0.05588   0.35980	-0.84438   0.27082   0.21181   0.36175  
      	     	          	           	          	           	             	                                      	 6.45458  -7.57734   1.12157   0.00119  
      	     	          	           	          	           	             	                                      	 2.12558   0.47224  -2.59900   0.00119  
      	     	          	           	          	           	             	                                      	 0.56381   0.00008   0.00018  -0.56407  

  #24	17   	-173.33237	Yes        	4        	2996.568    	0.000    	 0.50980   0.03627   0.11569   0.33824	-0.95045   0.14018   0.33365   0.47662  
      	     	          	           	          	           	             	                                      	 1.97005  -2.39447   0.42389   0.00053  
      	     	          	           	          	           	             	                                      	 1.47034   0.13291  -1.60378   0.00053  
      	     	          	           	          	           	             	                                      	 0.71839   0.00006   0.00018  -0.71862  

  #25	17   	-190.82838	Yes        	4        	3509.412    	0.000    	 0.51863   0.09118   0.12255   0.26765	-0.91954   0.15615   0.38583   0.37757  
      	     	          	           	          	           	             	                                      	 0.88820  -1.14134   0.25297   0.00016  
      	     	          	           	          	           	             	                                      	 1.63282   0.18821  -1.82119   0.00016  
      	     	          	           	          	           	             	                                      	 0.73163   0.00005   0.00007  -0.73175  

  #26	17   	-202.16193	Yes        	4        	2516.227    	0.000    	 0.41078   0.11961   0.05294   0.41667	-1.13642   0.24835   0.16329   0.72478  
      	     	          	           	          	           	             	                                      	 0.85292  -1.13018   0.01653   0.26073  
      	     	          	           	          	           	             	                                      	 1.26702   0.03734  -1.30465   0.00028  
      	     	          	           	          	           	             	                                      	 0.71455   0.07484   0.00004  -0.78943  

  #27	17   	-188.70119	Yes        	4        	7.368    	0.000    	 0.42647   0.10392   0.09804   0.37157	-1.12536   0.11036   0.02166   0.99333  
      	     	          	           	          	           	             	                                      	 0.45290  -0.64581   0.19271   0.00020  
      	     	          	           	          	           	             	                                      	 0.09424   0.20427  -0.29871   0.00020  
      	     	          	           	          	           	             	                                      	 1.14011   0.00006   0.00005  -1.14022  

  #28	17   	-184.98364	Yes        	4        	1919.531    	0.000    	 0.42255   0.04216   0.10000   0.43529	-1.04658   0.23406   0.28252   0.53000  
      	     	          	           	          	           	             	                                      	 2.34604  -3.71524   1.05396   0.31524  
      	     	          	           	          	           	             	                                      	 1.19379   0.44432  -1.63860   0.00049  
      	     	          	           	          	           	             	                                      	 0.51448   0.03053   0.00011  -0.54512  

  #29	17   	-175.57547	Yes        	4        	3895.683    	0.000    	 0.43529   0.07059   0.11471   0.37941	-1.12002   0.01150   0.05193   1.05659  
      	     	          	           	          	           	             	                                      	 0.07093  -0.24723   0.17616   0.00014  
      	     	          	           	          	           	             	                                      	 0.19707   0.10841  -0.30561   0.00014  
      	     	          	           	          	           	             	                                      	 1.21221   0.00003   0.00004  -1.21228  

  #30	17   	-172.65432	Yes        	4        	1424.614    	0.000    	 0.49902   0.04020   0.16471   0.29608	-1.00188   0.18440   0.50601   0.31147  
      	     	          	           	          	           	             	                                      	 2.28928  -2.28958   0.00011   0.00019  
      	     	          	           	          	           	             	                                      	 1.53308   0.00003  -1.53330   0.00019  
      	     	          	           	          	           	             	                                      	 0.52496   0.00003   0.00011  -0.52509  

  #31	17   	-171.48523	Yes        	4        	855.279    	0.000    	 0.40294   0.05588   0.12941   0.41176	-1.15110   0.10513   0.40410   0.64187  
      	     	          	           	          	           	             	                                      	 0.75802  -1.40437   0.44772   0.19863  
      	     	          	           	          	           	             	                                      	 1.25821   0.19333  -1.45198   0.00044  
      	     	          	           	          	           	             	                                      	 0.62812   0.02696   0.00014  -0.65521  

  #32	17   	-163.61470	Yes        	4        	387.153    	0.000    	 0.49314   0.06863   0.08529   0.35294	-0.92359   0.15494   0.33214   0.43651  
      	     	          	           	          	           	             	                                      	 1.11333  -1.76199   0.64832   0.00034  
      	     	          	           	          	           	             	                                      	 1.92031   0.52163  -2.44228   0.00034  
      	     	          	           	          	           	             	                                      	 0.60990   0.00007   0.00008  -0.61005  

  #33	17   	-202.92261	Yes        	4        	639.448    	0.000    	 0.34412   0.16471   0.14902   0.34216	-1.20066   0.00009   0.40366   0.79690  
      	     	          	           	          	           	             	                                      	 0.00020  -0.52721   0.34679   0.18023  
      	     	          	           	          	           	             	                                      	 0.93214   0.38329  -1.31563   0.00020  
      	     	          	           	          	           	             	                                      	 0.80147   0.08676   0.00009  -0.88831  

  #34	17   	-185.99364	Yes        	4        	320.836    	0.000    	 0.39510   0.05588   0.15980   0.38922	-1.18154   0.05213   0.28416   0.84526  
      	     	          	           	          	           	             	                                      	 0.36856  -0.96152   0.59272   0.00024  
      	     	          	           	          	           	             	                                      	 0.70255   0.20727  -0.91006   0.00024  
      	     	          	           	          	           	             	                                      	 0.85803   0.00003   0.00010  -0.85817  

  #35	17   	-190.81771	Yes        	4        	1445.749    	0.000    	 0.51471   0.09314   0.12745   0.26471	-0.93153   0.30670   0.19241   0.43241  
      	     	          	           	          	           	             	                                      	 1.69493  -1.71922   0.00011   0.02418  
      	     	          	           	          	           	             	                                      	 0.77706   0.00008  -0.92052   0.14339  
      	     	          	           	          	           	             	                                      	 0.84080   0.00851   0.06904  -0.91835  

  #36	17   	-183.39994	Yes        	4        	0.793    	0.000    	 0.40490   0.13137   0.11275   0.35098	-1.19143   0.00754   0.19031   0.99358  
      	     	          	           	          	           	             	                                      	 0.02323  -0.15697   0.05237   0.08138  
      	     	          	           	          	           	             	                                      	 0.68346   0.06102  -0.74464   0.00016  
      	     	          	           	          	           	             	                                      	 1.14623   0.03046   0.00005  -1.17674  

  #37	17   	-203.81295	Yes        	4        	2431.060    	0.000    	 0.47157   0.12647   0.08431   0.31765	-1.01802   0.00448   0.04735   0.96620  
      	     	          	           	          	           	             	                                      	 0.01669  -0.17424   0.01150   0.14604  
      	     	          	           	          	           	             	                                      	 0.26482   0.01726  -0.28216   0.00009  
      	     	          	           	          	           	             	                                      	 1.43439   0.05815   0.00002  -1.49256  

  #38	17   	-190.39912	Yes        	4        	3298.216    	0.000    	 0.51765   0.08824   0.09118   0.30294	-0.84914   0.16881   0.32864   0.35170  
      	     	          	           	          	           	             	                                      	 0.99035  -1.67489   0.33148   0.35307  
      	     	          	           	          	           	             	                                      	 1.86583   0.32078  -2.18707   0.00046  
      	     	          	           	          	           	             	                                      	 0.60095   0.10283   0.00014  -0.70393  

  #39	17   	-180.86291	Yes        	4        	1118.464    	0.000    	 0.48824   0.05784   0.08529   0.36863	-0.95559   0.24717   0.25014   0.45828  
      	     	          	           	          	           	             	                                      	 2.08625  -2.66448   0.57823   0.00000  
      	     	          	           	          	           	             	                                      	 1.43185   0.39213  -1.82398   0.00000  
      	     	          	           	          	           	             	                                      	 0.60698   0.00000   0.00000  -0.60698  

  #40	17   	-169.98380	Yes        	4        	3072.305    	0.000    	 0.53627   0.05392   0.11961   0.29020	-0.76766   0.07147   0.36526   0.33093  
      	     	          	           	          	           	             	                                      	 0.71079  -2.34796   0.66909   0.96808  
      	     	          	           	          	           	             	                                      	 1.63770   0.30164  -1.93971   0.00038  
      	     	          	           	          	           	             	                                      	 0.61155   0.17988   0.00015  -0.79158  

  #41	17   	-213.93330	Yes        	4        	1262.327    	0.000    	 0.39804   0.12451   0.15196   0.32549	-1.22116   0.48526   0.28691   0.44899  
      	     	          	           	          	           	             	                                      	 1.55130  -1.66320   0.11190   0.00000  
      	     	          	           	          	           	             	                                      	 0.75151   0.09168  -0.84319   0.00000  
      	     	          	           	          	           	             	                                      	 0.54907   0.00000   0.00000  -0.54907  

  #42	17   	-188.28282	Yes        	4        	947.239    	0.000    	 0.49608   0.09020   0.12843   0.28529	-0.92118   0.35794   0.21880   0.34444  
      	     	          	           	          	           	             	                                      	 1.96867  -2.08522   0.11610   0.00045  
      	     	          	           	          	           	             	                                      	 0.84514   0.08154  -1.17981   0.25313  
      	     	          	           	          	           	             	                                      	 0.59892   0.00014   0.11395  -0.71302  

  #43	17   	-194.03405	Yes        	4        	5.421    	0.000    	 0.42059   0.11667   0.13333   0.32941	-1.15183   0.01183   0.11157   1.02844  
      	     	          	           	          	           	             	                                      	 0.04263  -0.17573   0.13291   0.00018  
      	     	          	           	          	           	             	                                      	 0.35192   0.11630  -0.46840   0.00018  
      	     	          	           	          	           	             	                                      	 1.31310   0.00007   0.00007  -1.31324  

  #44	17   	-168.82401	Yes        	4        	1897.517    	0.000    	 0.52451   0.04118   0.12843   0.30588	-0.90691   0.18337   0.32600   0.39754  
      	     	          	           	          	           	             	                                      	 2.33580  -2.92505   0.13846   0.45079  
      	     	          	           	          	           	             	                                      	 1.33136   0.04439  -1.37618   0.00043  
      	     	          	           	          	           	             	                                      	 0.68168   0.06068   0.00018  -0.74254  

  #45	17   	-163.05997	Yes        	4        	0.679    	0.000    	 0.55882   0.05196   0.06961   0.31961	-0.84625   0.00006   0.10394   0.74225  
      	     	          	           	          	           	             	                                      	 0.00063  -0.52160   0.52061   0.00036  
      	     	          	           	          	           	             	                                      	 0.83445   0.38863  -1.22344   0.00036  
      	     	          	           	          	           	             	                                      	 1.29780   0.00006   0.00008  -1.29794  

  #46	17   	-152.91588	Yes        	4        	1047.586    	0.000    	 0.56569   0.04118   0.08431   0.30882	-0.82736   0.10425   0.40323   0.31988  
      	     	          	           	          	           	             	                                      	 1.43219  -2.17285   0.00008   0.74058  
      	     	          	           	          	           	             	                                      	 2.70542   0.00004  -2.72296   0.01750  
      	     	          	           	          	           	             	                                      	 0.58594   0.09874   0.00478  -0.68946  

  #47	17   	-173.98891	Yes        	4        	403.451    	0.000    	 0.44412   0.05686   0.05392   0.44510	-1.07632   0.17743   0.29659   0.60231  
      	     	          	           	          	           	             	                                      	 1.38579  -1.77145   0.19735   0.18831  
      	     	          	           	          	           	             	                                      	 2.44281   0.20812  -2.65195   0.00102  
      	     	          	           	          	           	             	                                      	 0.60098   0.02406   0.00012  -0.62516  

  #48	17   	-178.28320	Yes        	4        	1424.881    	0.000    	 0.40392   0.10588   0.13333   0.35686	-0.97339   0.29516   0.35413   0.32409  
      	     	          	           	          	           	             	                                      	 1.12599  -1.88624   0.72274   0.03751  
      	     	          	           	          	           	             	                                      	 1.07281   0.57394  -1.84424   0.19748  
      	     	          	           	          	           	             	                                      	 0.36683   0.01113   0.07379  -0.45174  

  #49	17   	-152.43743	Yes        	4        	1898.113    	0.000    	 0.52941   0.06765   0.08431   0.31863	-0.77695   0.02787   0.33155   0.41753  
      	     	          	           	          	           	             	                                      	 0.21809  -1.52790   0.62030   0.68950  
      	     	          	           	          	           	             	                                      	 2.08180   0.49769  -2.58032   0.00084  
      	     	          	           	          	           	             	                                      	 0.69375   0.14639   0.00022  -0.84036  

  #50	17   	-183.82402	Yes        	4        	3459.940    	0.000    	 0.49608   0.02353   0.13137   0.34902	-0.83016   0.03653   0.35198   0.44165  
      	     	          	           	          	           	             	                                      	 0.77022  -4.51115   1.59409   2.14685  
      	     	          	           	          	           	             	                                      	 1.32911   0.28551  -1.61577   0.00115  
      	     	          	           	          	           	             	                                      	 0.62775   0.14473   0.00043  -0.77291  

  #51	17   	-189.84088	Yes        	4        	28083.324    	0.000    	 0.61471   0.08137   0.13431   0.16961	-0.79732   0.00002   0.05313   0.74417  
      	     	          	           	          	           	             	                                      	 0.00016  -0.12155   0.12135   0.00004  
      	     	          	           	          	           	             	                                      	 0.24316   0.07352  -0.31672   0.00004  
      	     	          	           	          	           	             	                                      	 2.69707   0.00002   0.00003  -2.69712  

  #52	17   	-190.90921	Yes        	4        	1.081    	0.000    	 0.39804   0.07353   0.08235   0.44608	-1.08722   0.20298   0.00003   0.88420  
      	     	          	           	          	           	             	                                      	 1.09881  -2.01315   0.91417   0.00017  
      	     	          	           	          	           	             	                                      	 0.00015   0.81622  -0.81655   0.00017  
      	     	          	           	          	           	             	                                      	 0.78898   0.00003   0.00003  -0.78904  

  #53	17   	-157.25170	Yes        	4        	1758.217    	0.000    	 0.39412   0.03333   0.10196   0.47059	-1.20119   0.06916   0.48544   0.64659  
      	     	          	           	          	           	             	                                      	 0.81771  -1.61334   0.00015   0.79548  
      	     	          	           	          	           	             	                                      	 1.87643   0.00005  -1.87715   0.00068  
      	     	          	           	          	           	             	                                      	 0.54152   0.05635   0.00015  -0.59801  

  #54	17   	-188.75253	Yes        	4        	1558.896    	0.000    	 0.46275   0.08137   0.17941   0.27647	-1.01829   0.16574   0.43639   0.41617  
      	     	          	           	          	           	             	                                      	 0.94250  -1.29580   0.35308   0.00022  
      	     	          	           	          	           	             	                                      	 1.12555   0.16014  -1.28592   0.00022  
      	     	          	           	          	           	             	                                      	 0.69657   0.00007   0.00014  -0.69678  

  #55	17   	-167.50951	Yes        	4        	3263.864    	0.000    	 0.47157   0.05000   0.07255   0.40588	-0.93056   0.04974   0.24956   0.63127  
      	     	          	           	          	           	             	                                      	 0.46908  -1.69141   1.22151   0.00082  
      	     	          	           	          	           	             	                                      	 1.62211   0.84185  -2.46478   0.00082  
      	     	          	           	          	           	             	                                      	 0.73343   0.00010   0.00015  -0.73368  

  #56	17   	-175.07845	Yes        	4        	1802.771    	0.000    	 0.44020   0.02745   0.11667   0.41569	-1.00389   0.10663   0.48243   0.41483  
      	     	          	           	          	           	             	                                      	 1.70987  -3.82610   1.27982   0.83641  
      	     	          	           	          	           	             	                                      	 1.82027   0.30113  -2.12140   0.00000  
      	     	          	           	          	           	             	                                      	 0.43929   0.05523   0.00000  -0.49452  

  #57	17   	-188.82787	Yes        	4        	2132.966    	0.000    	 0.42353   0.05294   0.16176   0.36176	-1.00436   0.07761   0.40160   0.52514  
      	     	          	           	          	           	             	                                      	 0.62091  -2.02909   0.85396   0.55422  
      	     	          	           	          	           	             	                                      	 1.05146   0.27948  -1.33140   0.00046  
      	     	          	           	          	           	             	                                      	 0.61480   0.08111   0.00021  -0.69612  

  #58	17   	-158.55913	Yes        	4        	949.547    	0.000    	 0.45882   0.11961   0.06471   0.35686	-1.02714   0.18426   0.25099   0.59189  
      	     	          	           	          	           	             	                                      	 0.70682  -0.94682   0.16772   0.07228  
      	     	          	           	          	           	             	                                      	 1.77978   0.31004  -2.09012   0.00031  
      	     	          	           	          	           	             	                                      	 0.76100   0.02422   0.00006  -0.78528  

  #59	17   	-200.08305	Yes        	4        	1786.623    	0.000    	 0.37647   0.08824   0.11471   0.42059	-1.21161   0.15818   0.27340   0.78003  
      	     	          	           	          	           	             	                                      	 0.67492  -1.17168   0.38062   0.11615  
      	     	          	           	          	           	             	                                      	 0.89731   0.29278  -1.19036   0.00027  
      	     	          	           	          	           	             	                                      	 0.69821   0.02437   0.00007  -0.72265  

  #60	17   	-154.21286	Yes        	4        	1724.136    	0.000    	 0.47157   0.06765   0.08333   0.37745	-0.86211   0.06502   0.36959   0.42751  
      	     	          	           	          	           	             	                                      	 0.45322  -1.74551   0.50650   0.78578  
      	     	          	           	          	           	             	                                      	 2.09144   0.41116  -2.57503   0.07243  
      	     	          	           	          	           	             	                                      	 0.53411   0.14083   0.01599  -0.69093  

  #61	17   	-168.10419	Yes        	4        	2.970    	0.000    	 0.40686   0.10490   0.08333   0.40490	-1.03040   0.22145   0.20449   0.60447  
      	     	          	           	          	           	             	                                      	 0.85888  -1.47597   0.61622   0.00088  
      	     	          	           	          	           	             	                                      	 0.99838   0.77571  -1.96648   0.19239  
      	     	          	           	          	           	             	                                      	 0.60740   0.00023   0.03960  -0.64722  

  #62	17   	-181.65346	Yes        	4        	0.449    	0.000    	 0.45784   0.09902   0.08529   0.35784	-0.98340   0.00007   0.10715   0.87618  
      	     	          	           	          	           	             	                                      	 0.00034  -0.50259   0.32885   0.17340  
      	     	          	           	          	           	             	                                      	 0.57518   0.38177  -0.95722   0.00027  
      	     	          	           	          	           	             	                                      	 1.12103   0.04798   0.00006  -1.16907  

  #63	17   	-176.36623	Yes        	4        	2211.331    	0.000    	 0.41667   0.07157   0.16471   0.34706	-1.11088   0.18169   0.57465   0.35454  
      	     	          	           	          	           	             	                                      	 1.05779  -1.57619   0.00009   0.51831  
      	     	          	           	          	           	             	                                      	 1.45373   0.00004  -1.45396   0.00019  
      	     	          	           	          	           	             	                                      	 0.42565   0.10688   0.00009  -0.53262  

  #64	17   	-177.72929	Yes        	4        	1199.144    	0.000    	 0.54118   0.05686   0.06569   0.33627	-0.85499   0.09073   0.15696   0.60729  
      	     	          	           	          	           	             	                                      	 0.86351  -1.51898   0.19150   0.46398  
      	     	          	           	          	           	             	                                      	 1.29317   0.16577  -1.45940   0.00045  
      	     	          	           	          	           	             	                                      	 0.97734   0.07846   0.00009  -1.05588  

